Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Marcus Semien,2021,TOR,724,9.1%,20.2%,0.273,131,12533
Whit Merrifield,2021,KCR,720,5.6%,14.3%,0.117,91,11281
Vladimir Guerrero Jr.,2021,TOR,698,12.3%,15.8%,0.290,166,19611
Freddie Freeman,2021,ATL,695,12.4%,15.4%,0.203,135,5361
Mitch Haniger,2021,SEA,691,7.8%,24.5%,0.232,120,14274
Tommy Edman,2021,STL,691,5.5%,13.7%,0.125,91,19470
Bo Bichette,2021,TOR,690,5.8%,19.9%,0.186,122,19612
J.P. Crawford,2021,SEA,687,8.4%,16.6%,0.103,103,15491
Ozzie Albies,2021,ATL,686,6.9%,18.7%,0.229,107,16556
Paul Goldschmidt,2021,STL,679,9.9%,20.0%,0.221,138,9218
DJ LeMahieu,2021,NYY,679,10.8%,13.8%,0.094,100,9874
Jose Altuve,2021,HOU,678,9.7%,13.4%,0.211,130,5417
Isiah Kiner-Falefa,2021,TEX,677,4.1%,13.3%,0.087,85,16512
Cedric Mullins II,2021,BAL,675,8.7%,18.5%,0.228,136,17929
Jonathan Schoop,2021,DET,674,5.5%,19.7%,0.157,105,11265
Matt Olson,2021,OAK,673,13.1%,16.8%,0.269,146,14344
Robbie Grossman,2021,DET,671,14.6%,23.1%,0.176,114,5254
Kyle Seager,2021,SEA,670,8.8%,24.0%,0.226,99,9785
Salvador Perez,2021,KCR,665,4.2%,25.6%,0.271,127,7304
David Fletcher,2021,LAA,665,4.7%,9.0%,0.062,70,17992
Rafael Devers,2021,BOS,664,9.3%,21.5%,0.259,134,17350
Austin Riley,2021,ATL,662,7.9%,25.4%,0.227,135,18360
Jose Abreu,2021,CHW,659,9.3%,21.7%,0.219,126,15676
Carlos Santana,2021,KCR,659,13.1%,15.5%,0.127,83,2396
Juan Soto,2021,WSN,654,22.2%,14.2%,0.221,163,20123
Nolan Arenado,2021,STL,653,7.7%,14.7%,0.239,113,9777
Dansby Swanson,2021,ATL,653,8.0%,25.6%,0.201,98,18314
Ty France,2021,SEA,650,7.1%,16.3%,0.154,129,17982
Trea Turner,2021,- - -,646,6.3%,17.0%,0.208,142,16252
Bryan Reynolds,2021,PIT,646,11.6%,18.4%,0.220,142,19326
Jorge Polanco,2021,MIN,644,7.0%,18.3%,0.235,122,13152
Jake Cronenworth,2021,SDP,643,8.6%,14.0%,0.194,116,18036
Nate Lowe,2021,TEX,642,12.5%,25.2%,0.151,115,19566
Carlos Correa,2021,HOU,640,11.7%,18.1%,0.205,134,14162
Manny Machado,2021,SDP,640,9.8%,15.9%,0.211,122,11493
Shohei Ohtani,2021,LAA,639,15.0%,29.6%,0.335,152,19755
Adam Frazier,2021,- - -,639,7.5%,10.8%,0.106,114,15223
Myles Straw,2021,- - -,638,10.5%,19.0%,0.076,98,17620
Pete Alonso,2021,NYM,637,9.4%,19.9%,0.257,133,19251
Cesar Hernandez,2021,- - -,637,9.3%,21.2%,0.154,90,10556
Jose Ramirez,2021,CLE,636,11.3%,13.7%,0.272,137,13510
J.D. Martinez,2021,BOS,634,8.7%,23.7%,0.232,128,6184
Aaron Judge,2021,NYY,633,11.8%,25.0%,0.256,148,15640
Jonathan India,2021,CIN,631,11.3%,22.3%,0.190,122,21523
Jeimer Candelario,2021,DET,626,10.4%,21.6%,0.172,119,13621
Mark Canha,2021,OAK,625,12.3%,20.5%,0.156,115,11445
Matt Chapman,2021,OAK,622,12.9%,32.5%,0.193,101,16505
Adolis Garcia,2021,TEX,622,5.1%,31.2%,0.212,100,19287
Dylan Carlson,2021,STL,619,9.2%,24.6%,0.172,113,20126
Yoan Moncada,2021,CHW,616,13.6%,25.5%,0.148,122,17232
Joey Gallo,2021,- - -,616,18.0%,34.6%,0.259,123,14128
Trey Mancini,2021,BAL,616,8.3%,23.2%,0.176,105,15149
Brandon Lowe,2021,TBR,615,11.1%,27.2%,0.277,137,18882
Justin Turner,2021,LAD,612,10.0%,16.0%,0.193,127,5235
Yuli Gurriel,2021,HOU,605,9.8%,11.2%,0.143,134,19198
Randy Arozarena,2021,TBR,604,9.3%,28.1%,0.185,128,19290
Alex Verdugo,2021,BOS,604,8.4%,15.9%,0.138,107,17027
Xander Bogaerts,2021,BOS,603,10.3%,18.7%,0.198,130,12161
Jorge Soler,2021,- - -,602,11.1%,23.6%,0.209,100,14221
Bryce Harper,2021,PHI,599,16.7%,22.4%,0.305,170,11579
