Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Marcus Semien,2021,TOR,724,0.091,0.202,0.273,131,12533
Whit Merrifield,2021,KCR,720,0.056,0.143,0.117,91,11281
Vladimir Guerrero Jr.,2021,TOR,698,0.123,0.158,0.290,166,19611
Freddie Freeman,2021,ATL,695,0.124,0.154,0.203,135,5361
Mitch Haniger,2021,SEA,691,0.078,0.245,0.232,120,14274
Tommy Edman,2021,STL,691,0.055,0.137,0.125,91,19470
Bo Bichette,2021,TOR,690,0.058,0.199,0.186,122,19612
J.P. Crawford,2021,SEA,687,0.084,0.166,0.103,103,15491
Ozzie Albies,2021,ATL,686,0.069,0.187,0.229,107,16556
Paul Goldschmidt,2021,STL,679,0.099,0.200,0.221,138,9218
DJ LeMahieu,2021,NYY,679,0.108,0.138,0.094,100,9874
Jose Altuve,2021,HOU,678,0.097,0.134,0.211,130,5417
Isiah Kiner-Falefa,2021,TEX,677,0.041,0.133,0.087,85,16512
Cedric Mullins II,2021,BAL,675,0.087,0.185,0.228,136,17929
Jonathan Schoop,2021,DET,674,0.055,0.197,0.157,105,11265
Matt Olson,2021,OAK,673,0.131,0.168,0.269,146,14344
Robbie Grossman,2021,DET,671,0.146,0.231,0.176,114,5254
Kyle Seager,2021,SEA,670,0.088,0.240,0.226,99,9785
Salvador Perez,2021,KCR,665,0.042,0.256,0.271,127,7304
David Fletcher,2021,LAA,665,0.047,0.090,0.062,70,17992
Rafael Devers,2021,BOS,664,0.093,0.215,0.259,134,17350
Austin Riley,2021,ATL,662,0.079,0.254,0.227,135,18360
Jose Abreu,2021,CHW,659,0.093,0.217,0.219,126,15676
Carlos Santana,2021,KCR,659,0.131,0.155,0.127,83,2396
Juan Soto,2021,WSN,654,0.222,0.142,0.221,163,20123
Nolan Arenado,2021,STL,653,0.077,0.147,0.239,113,9777
Dansby Swanson,2021,ATL,653,0.080,0.256,0.201,98,18314
Ty France,2021,SEA,650,0.071,0.163,0.154,129,17982
Trea Turner,2021,- - -,646,0.063,0.170,0.208,142,16252
Bryan Reynolds,2021,PIT,646,0.116,0.184,0.220,142,19326
Jorge Polanco,2021,MIN,644,0.070,0.183,0.235,122,13152
Jake Cronenworth,2021,SDP,643,0.086,0.140,0.194,116,18036
Nate Lowe,2021,TEX,642,0.125,0.252,0.151,115,19566
Carlos Correa,2021,HOU,640,0.117,0.181,0.205,134,14162
Manny Machado,2021,SDP,640,0.098,0.159,0.211,122,11493
Shohei Ohtani,2021,LAA,639,0.150,0.296,0.335,152,19755
Adam Frazier,2021,- - -,639,0.075,0.108,0.106,114,15223
Myles Straw,2021,- - -,638,0.105,0.190,0.076,98,17620
Pete Alonso,2021,NYM,637,0.094,0.199,0.257,133,19251
Cesar Hernandez,2021,- - -,637,0.093,0.212,0.154,90,10556
Jose Ramirez,2021,CLE,636,0.113,0.137,0.272,137,13510
J.D. Martinez,2021,BOS,634,0.087,0.237,0.232,128,6184
Aaron Judge,2021,NYY,633,0.118,0.250,0.256,148,15640
Jonathan India,2021,CIN,631,0.113,0.223,0.190,122,21523
Jeimer Candelario,2021,DET,626,0.104,0.216,0.172,119,13621
Mark Canha,2021,OAK,625,0.123,0.205,0.156,115,11445
Matt Chapman,2021,OAK,622,0.129,0.325,0.193,101,16505
Adolis Garcia,2021,TEX,622,0.051,0.312,0.212,100,19287
Dylan Carlson,2021,STL,619,0.092,0.246,0.172,113,20126
Yoan Moncada,2021,CHW,616,0.136,0.255,0.148,122,17232
Joey Gallo,2021,- - -,616,0.180,0.346,0.259,123,14128
Trey Mancini,2021,BAL,616,0.083,0.232,0.176,105,15149
Brandon Lowe,2021,TBR,615,0.111,0.272,0.277,137,18882
Justin Turner,2021,LAD,612,0.100,0.160,0.193,127,5235
Yuli Gurriel,2021,HOU,605,0.098,0.112,0.143,134,19198
Randy Arozarena,2021,TBR,604,0.093,0.281,0.185,128,19290
Alex Verdugo,2021,BOS,604,0.084,0.159,0.138,107,17027
Xander Bogaerts,2021,BOS,603,0.103,0.187,0.198,130,12161
Jorge Soler,2021,- - -,602,0.111,0.236,0.209,100,14221
Bryce Harper,2021,PHI,599,0.167,0.224,0.305,170,11579
Eduardo Escobar,2021,- - -,599,0.080,0.207,0.219,107,6153
Yordan Alvarez,2021,HOU,598,0.084,0.242,0.253,138,19556
Ryan McMahon,2021,COL,596,0.099,0.247,0.195,95,15112
Teoscar Hernandez,2021,TOR,595,0.061,0.249,0.227,132,13066
Trevor Story,2021,COL,595,0.089,0.234,0.221,100,12564
Max Muncy,2021,LAD,592,0.140,0.203,0.278,140,13301
Austin Meadows,2021,TBR,591,0.100,0.206,0.224,113,15672
Amed Rosario,2021,CLE,588,0.053,0.204,0.127,99,15518
Kris Bryant,2021,- - -,586,0.106,0.230,0.216,123,15429
Ryan Mountcastle,2021,BAL,586,0.070,0.275,0.232,111,18373
Nick Castellanos,2021,CIN,585,0.070,0.207,0.267,140,11737
Enrique Hernandez,2021,BOS,585,0.104,0.188,0.199,110,10472
Jared Walsh,2021,LAA,585,0.082,0.260,0.232,127,18607
Nelson Cruz,2021,- - -,584,0.087,0.216,0.232,122,2434
Chris Taylor,2021,LAD,582,0.108,0.287,0.183,113,13757
