Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Mookie Betts,2018,BOS,614,0.132,0.148,0.294,185,13611
Mike Trout,2018,LAA,608,0.201,0.204,0.316,188,10155
Christian Yelich,2019,MIL,580,0.138,0.203,0.342,174,11477
Mike Trout,2019,LAA,600,0.183,0.200,0.353,177,10155
J.D. Martinez,2018,BOS,649,0.106,0.225,0.299,170,6184
Christian Yelich,2018,MIL,651,0.104,0.207,0.272,167,11477
Alex Bregman,2019,HOU,690,0.172,0.120,0.296,167,17678
Nelson Cruz,2019,MIN,521,0.107,0.251,0.328,164,2434
Cody Bellinger,2019,LAD,660,0.144,0.164,0.324,161,15998
Anthony Rendon,2019,WSN,646,0.124,0.133,0.279,155,12861
Ketel Marte,2019,ARI,628,0.084,0.137,0.264,149,13613
George Springer,2019,HOU,556,0.121,0.203,0.299,155,12856
Alex Bregman,2018,HOU,705,0.136,0.121,0.246,157,17678
Juan Soto,2019,WSN,659,0.164,0.200,0.266,143,20123
Nolan Arenado,2019,COL,662,0.094,0.140,0.269,130,9777
Jose Ramirez,2018,CLE,698,0.152,0.115,0.282,147,13510
Nolan Arenado,2018,COL,673,0.108,0.181,0.264,133,9777
Paul Goldschmidt,2018,ARI,690,0.130,0.251,0.243,144,9218
Anthony Rizzo,2019,CHC,613,0.116,0.140,0.227,140,3473
Xander Bogaerts,2019,BOS,698,0.109,0.175,0.246,141,12161
Charlie Blackmon,2019,COL,634,0.063,0.164,0.262,127,7859
Freddie Freeman,2019,ATL,692,0.126,0.184,0.255,137,5361
J.D. Martinez,2019,BOS,657,0.110,0.210,0.252,139,6184
Brandon Nimmo,2018,NYM,535,0.150,0.262,0.219,148,12927
Jeff McNeil,2019,NYM,567,0.062,0.132,0.214,144,15362
Pete Alonso,2019,NYM,693,0.104,0.264,0.323,144,19251
Trevor Story,2018,COL,656,0.072,0.256,0.276,128,12564
Anthony Rendon,2018,WSN,597,0.092,0.137,0.227,140,12861
Eugenio Suarez,2019,CIN,662,0.106,0.285,0.301,130,12552
Mookie Betts,2019,BOS,706,0.137,0.143,0.229,135,13611
Trevor Story,2019,COL,656,0.088,0.265,0.260,122,12564
Carlos Santana,2019,CLE,686,0.157,0.157,0.234,138,2396
Austin Meadows,2019,TBR,591,0.091,0.222,0.268,144,15672
Kris Bryant,2019,CHC,634,0.117,0.229,0.239,134,15429
Yoan Moncada,2019,CHW,559,0.072,0.275,0.233,139,17232
Josh Bell,2019,PIT,613,0.121,0.192,0.292,135,13145
Jorge Soler,2019,KCR,679,0.108,0.262,0.304,136,14221
Freddie Freeman,2018,ATL,707,0.107,0.187,0.196,136,5361
Josh Donaldson,2019,ATL,659,0.152,0.235,0.262,131,5038
Rafael Devers,2019,BOS,702,0.068,0.170,0.244,132,17350
Manny Machado,2018,- - -,709,0.099,0.147,0.241,141,11493
Eugenio Suarez,2018,CIN,606,0.106,0.234,0.243,135,12552
Bryce Harper,2018,WSN,695,0.187,0.243,0.247,135,11579
Matt Carpenter,2018,STL,677,0.151,0.233,0.266,140,8090
